(y, x, P(y))
438.0, 2591.5, -1.8151118704392378 E14
439.0, 2597.416666666667, -1.8870129261951844 E14
440.0, 2603.3333333333335, -1.9616210633796644 E14
441.0, 2609.25, -2.0390329132724488 E14
442.0, 2615.166666666667, -2.119348368395131 E14
443.0, 2621.0833333333335, -2.202670686253886 E14
444.0, 2627.0, -2.289106596182068 E14
445.0, 2632.916666666667, -2.3787664093693197 E14
446.0, 2638.8333333333335, -2.4717641321660975 E14
447.0, 2644.75, -2.5682175827548662 E14
448.0, 2650.666666666667, -2.6682485112815394 E14
449.0, 2656.5833333333335, -2.771982723543196 E14
450.0, 2662.5, -2.879550208330577 E14
451.0, 2668.416666666667, -2.9910852685264425 E14
452.0, 2674.3333333333335, -3.1067266560633006 E14
453.0, 2680.25, -3.226617710847056 E14
454.0, 2686.166666666667, -3.3509065037554194 E14
455.0, 2692.0833333333335, -3.4797459838229075 E14
456.0, 2698.0, -3.613294129727332 E14
457.0, 2703.916666666667, -3.751714105695188 E14
458.0, 2709.8333333333335, -3.8951744219465406 E14
459.0, 2715.75, -4.043849099803389 E14
460.0, 2721.666666666667, -4.197917841587894 E14
461.0, 2727.5833333333335, -4.357566205440826 E14
462.0, 2733.5, -4.5229857851935356 E14
463.0, 2739.416666666667, -4.694374395429882 E14
464.0, 2745.3333333333335, -4.871936261878495 E14
465.0, 2751.25, -5.055882217279077 E14
466.0, 2757.166666666667, -5.246429902869663 E14
467.0, 2763.0833333333335, -5.4438039756461206 E14
468.0, 2769.0, -5.648236321548616 E14
469.0, 2774.916666666667, -5.859966274733315 E14
470.0, 2780.8333333333335, -6.079240843092252 E14
471.0, 2786.75, -6.30631494018772 E14
472.0, 2792.666666666667, -6.541451623772066 E14
473.0, 2798.5833333333335, -6.784922341067584 E14
474.0, 2804.5, -7.037007180986172 E14
475.0, 2810.416666666667, -7.297995133472296 E14
476.0, 2816.3333333333335, -7.568184356157365 E14
477.0, 2822.25, -7.847882448518539 E14
478.0, 2828.166666666667, -8.137406733739915 E14
479.0, 2834.0833333333335, -8.437084548477772 E14
480.0, 2840.0, -8.747253540738371 E14
481.0, 2845.916666666667, -9.068261976079688 E14
482.0, 2851.8333333333335, -9.40046905235572 E14
483.0, 2857.75, -9.744245223225966 E14
484.0, 2863.666666666667, -1.0099972530658338 E15
485.0, 2869.5833333333335, -1.046804494665966 E15
486.0, 2875.5, -1.0848868724473499 E15
487.0, 2881.416666666667, -1.1242862759490945 E15
488.0, 2887.3333333333335, -1.1650458960124545 E15
489.0, 2893.25, -1.207210262890452 E15
490.0, 2899.166666666667, -1.2508252854059875 E15
491.0, 2905.0833333333335, -1.2959382911854028 E15
492.0, 2911.0, -1.34259806799527 E15
493.0, 2916.916666666667, -1.3908549062105475 E15
494.0, 2922.8333333333335, -1.4407606424432158 E15
495.0, 2928.75, -1.4923687043610532 E15
496.0, 2934.666666666667, -1.5457341567267795 E15
497.0, 2940.5833333333335, -1.6009137486888985 E15
498.0, 2946.5, -1.6579659623559408 E15
499.0, 2952.416666666667, -1.716951062686706 E15

Process finished with exit code 0

